'Largest-ever' climate-change march rolls through NYC (climateark),http://news.feedzilla.com/en_us/stories/science/398926819?client_source=api&format=json,"USA Today: More than 300,000 people marched through the streets of New York
City on Sunday in what organizers called the largest climate-change
demonstration in history. With banners, flags, floats and drums, protesters at
the ""People's Climate March"" overwhelmed midtown Manhattan in flocks of vivid
color, demanding action ahead of the United Nations Climate Summit this week.
""I'm totally passionate about our planet and what's happening with our life
here,"" said Heather Snow, 57, a massage therapist from...

"
7 Amazing Google Science Fair Projects (Scientific American),http://news.feedzilla.com/en_us/stories/science/399011694?client_source=api&format=json,"Tonight, Google will announce the winners of its fourth annual Google Science
Fair, which Scientific American co-sponsors. Watch the awards ceremony here
live.


-- Read more on ScientificAmerican.com

"
Artist Uses 3D Printing To Preserve Artifacts Destroyed By ISIS,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/4ldBbeC2urw/artist-uses-3d-printing-to-preserve-artifacts-destroyed-by-isis,
Ask Slashdot: Best Test Case Manager Plugin For JIRA?,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/nSVwGS4ZXSk/ask-slashdot-best-test-case-manager-plugin-for-jira,
Can Marijuana Cause Psychosis? (Scientific American),http://news.feedzilla.com/en_us/stories/science/398820469?client_source=api&format=json,"Cannabis might trigger psychosis in vulnerable individuals, but conflicting
evidence leaves many open questions


-- Read more on ScientificAmerican.com

"
Does Marijuana Harm the Brain? (Scientific American),http://news.feedzilla.com/en_us/stories/science/399088963?client_source=api&format=json,"

-- Read more on ScientificAmerican.com

"
Ebola Lockdown Workers Find Dozens of Cases (bioethicscom),http://news.feedzilla.com/en_us/stories/science/399005592?client_source=api&format=json,"(CNN) - One hundred thirty new cases of Ebola were identified during a three-
day lockdown in Sierra Leone, Stephen Gaojia, the country's head of emergency
operations, said Monday. Officials are awaiting tests on another 39 potential
cases, he said. During … Read More

"
Faith in Science Reduces Concerns about Climate Change (Scientific American),http://news.feedzilla.com/en_us/stories/science/399088961?client_source=api&format=json,"Surprising psychology poses obstacle on warming


-- Read more on ScientificAmerican.com

"
Future of Employment: How Susceptible Are Jobs To Computerization?,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/C2Wz_6Ku6OA/future-of-employment-how-susceptible-are-jobs-to-computerization,
Google Calendar Ends SMS Notifications,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/Ux3uynApyzo/google-calendar-ends-sms-notifications,
Gravitational Wave Discovery Looks Doubtful in New Analysis (Scientific American),http://news.feedzilla.com/en_us/stories/science/398993634?client_source=api&format=json,"The latest data from the Planck satellite suggest the highly touted finding of
spacetime ripples may have been mistaken


-- Read more on ScientificAmerican.com

"
Ground Crew Back In Touch With LightSail Solar Spacecraft ,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/mrTrU7mTx1M/ground-crew-back-in-touch-with-lightsail-solar-spacecraft,
